,timestamp,open,high,low,close,volume,rsi_14,macd,macd_signal,sma_5,sma_20,return,future_return,target,overall_sentiment_score,ticker_sentiment,ticker_relevance,topic_Economy - Monetary,topic_Technology,topic_Financial Markets,topic_Manufacturing,topic_Economy - Fiscal,topic_Energy & Transportation,topic_Finance,topic_Life Sciences,topic_IPO,topic_Earnings,topic_Retail & Wholesale,topic_Mergers & Acquisitions,topic_Real Estate & Construction,topic_Blockchain,topic_Economy - Macro
0,2018-03-21,310.25,322.44,310.19,316.53,5927881,40.45734472233853,-5.833820811656381,-3.7731849131377393,317.518,333.3715,-0.017933045825447635,-0.023473288471866693,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-03-22,313.89,318.82,308.18,309.1,4914307,36.79063905107007,-6.641357480572083,-4.346819426624608,314.218,331.51800000000003,-0.07474481396114574,-0.02445810417340666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018-03-23,311.25,311.25,300.45,301.54,6600538,33.467005081458694,-7.80143484247958,-5.037742509795603,310.25600000000003,328.9925,-0.10119526662493661,0.008755057372156205,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018-03-26,307.34,307.59,291.36,304.18,8324639,35.6531062631296,-8.41082383152417,-5.712358774141316,308.38,326.3305,-0.0913761687128476,-0.08218817805246892,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2018-03-27,304.0,304.27,277.18,279.18,13696168,26.704762329182117,-10.786717497225482,-6.72723051875815,302.106,322.74,-0.1623762376237624,-0.07665305537645972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2018-03-28,264.58,268.68,252.1,257.78,21001437,21.687064410517593,-14.232369600014522,-8.228258335009425,290.356,318.476,-0.2553369731634747,0.03239196213825757,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2018-03-29,256.49,270.96,248.21,266.13,15170749,27.417713620497025,-16.103665468581255,-9.803339761723791,281.762,315.236,-0.244056242011078,-0.05129072257919065,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2018-04-02,256.26,260.33,244.59,252.48,16113968,24.288712782639095,-18.47515179901302,-11.537702169181637,271.95,311.10400000000004,-0.29360416316938065,0.05960868187579216,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2018-04-03,269.82,273.35,254.49,267.53,18844384,33.323826874727146,-18.922041068735723,-13.014569949092456,264.62,307.813,-0.23778455226644646,0.07255261092213972,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2018-04-04,252.78,288.37,252.0,286.94,19896746,42.803927327010435,-17.50815612542749,-13.913287184359463,266.17199999999997,305.75,-0.1635865446277619,0.06544922283404198,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2018-04-05,289.34,306.26,288.2,305.72,19121101,50.184077316150166,-14.70276870687627,-14.071183488862825,275.76,304.421,-0.07617925240987511,-0.020999607483972338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2018-04-06,301.0,309.28,295.5,299.3,13520286,47.90827949658746,-12.849399433574035,-13.826826677805068,282.39399999999995,302.931,-0.10688708522320356,-0.032208486468426334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2018-04-09,300.37,309.5,289.21,289.66,10249805,44.635092187442645,-12.019900436729529,-13.46544142958996,289.83,301.0555,-0.13106344682765858,0.05192294414140708,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2018-04-10,298.97,307.1,293.68,304.7,11024259,50.336158340471314,-10.033257058156437,-12.779004555303256,297.264,299.015,-0.07160268129189518,-0.012372825730226356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2018-04-11,300.74,308.98,299.66,300.93,7482945,48.974800270447474,-8.663171709608775,-11.955837986164362,300.062,296.96950000000004,-0.09440264820944932,-0.022762768750207774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2018-04-12,302.32,303.95,293.68,294.08,7608769,46.51328130715439,-8.037456160637134,-11.172161621058915,297.73400000000004,295.342,-0.10641142509875434,0.02128672470076176,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2018-04-13,303.6,303.95,295.98,300.34,7327223,49.03430489548008,-6.956255019298851,-10.328980300706903,297.94199999999995,294.079,-0.08200629642082113,-0.03039888126789636,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2018-04-16,299.0,299.66,289.01,291.21,6338488,45.65447071566724,-6.758205634839555,-9.614825367533433,298.252,292.572,-0.15715898237388215,-0.012087496995295433,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2018-04-17,288.87,292.17,282.51,287.69,7000023,44.38424535350726,-6.806819870549873,-9.05322426813672,294.85,291.2785,-0.15840744207816515,0.019673954603913968,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2018-04-18,291.08,300.24,288.16,293.35,6557700,46.9405839922785,-6.315827378635731,-8.505744890236523,293.33399999999995,290.4185,-0.10188898753941755,0.022941878302369156,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2018-04-19,291.08,301.01,288.55,300.08,6090599,49.88995020390737,-5.322305313704305,-7.869056974930079,294.534,289.596,-0.07837837837837847,-0.03279125566515584,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
