,Date,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
0,2017-08-20,4261.48,4485.39,3850.0,4086.29,2843.431426,12021576.48265154,13134
1,2017-08-27,4069.13,4453.91,3400.0,4310.01,4599.396629,18978983.50987317,37826
2,2017-09-03,4310.01,4939.19,4124.54,4509.08,4753.843376,21581679.92866748,35717
3,2017-09-10,4505.0,4788.59,3603.0,4130.37,6382.787745,27307824.36893929,42372
4,2017-09-17,4153.62,4394.59,2817.0,3699.99,8106.705127,30026796.42861788,50423
5,2017-09-24,3690.0,4123.2,3505.55,3660.02,5908.32335,22501242.65454204,56785
6,2017-10-01,3660.02,4406.52,3653.69,4378.48,5782.305424,23750419.76839855,71484
7,2017-10-08,4400.0,4658.0,4110.0,4640.0,4708.272956,20366578.25125568,59658
8,2017-10-15,4640.0,5922.3,4550.0,5709.99,7913.925837,42038755.95644524,61638
9,2017-10-22,5710.0,6171.0,5037.95,5950.02,12157.769447,69446644.86619963,75969
10,2017-10-29,5975.0,6189.88,5286.98,6169.98,13133.99457,75229774.73890872,74778
11,2017-11-05,6133.01,7590.25,6030.0,7345.01,11663.209648,79517426.5391578,98387
12,2017-11-12,7345.1,7770.02,5325.01,5811.03,18916.3199,126612916.75463176,132654
13,2017-11-19,5839.94,8123.15,5699.99,8038.0,19791.101011,146293856.48316985,107207
14,2017-11-26,8057.11,9350.0,7801.0,9128.02,28921.859792,240238717.93883663,129930
15,2017-12-03,9128.0,11825.0,8520.0,11165.41,48427.94965,493261876.5247408,232180
16,2017-12-10,11165.41,17204.99,10802.0,14899.98,72469.977627,1022228203.7964908,393420
17,2017-12-17,14946.26,19798.68,14666.56,18860.02,67851.486215,1143594375.3765807,539238
18,2017-12-24,18860.04,19300.0,10961.0,13500.0,135385.440322,1998479799.1145618,1007841
19,2017-12-31,13500.0,16498.05,11750.0,13716.36,116522.754321,1636613418.3316479,1040980
20,2018-01-07,13715.65,17176.24,12750.0,16150.03,120239.399359,1828148890.854119,1087900
21,2018-01-14,16218.85,16322.3,11400.0,13474.99,137537.904565,1919927016.0206213,1176645
22,2018-01-21,13477.98,14249.99,9035.0,11530.0,303127.502137,3434833014.703798,2359135
23,2018-01-28,11530.0,12244.0,9900.24,11879.95,198030.051117,2184045152.496221,1961464
24,2018-02-04,11879.95,11975.02,7930.0,8184.81,202016.407759,1896352538.6706731,2082917
